Word,Frequency
THE,140
PRESIDENT,152
OKAY,24
THANK,35
MUCH,16
EVERYBODY,9
ALL,6
PEOPLE,94
WORKING,27
HARD,11
TODAY,26
ILL,9
TELL,11
FOR,6
LONG,15
TIME,31
THEYVE,18
BUT,64
I,247
BEGIN,6
WANT,48
EXPRESS,3
NATIONS,1
WELL,57
WISHES,1
PRIME,3
MINISTER,3
BORIS,1
JOHNSON,4
WAGES,1
PERSONAL,2
FIGHT,5
VIRUS,9
AMERICANS,3
PRAYING,1
HES,16
FRIEND,2
MINE,2
GREAT,34
GENTLEMAN,2
LEADER,2
AND,175
KNOW,68
BROUGHT,1
HOSPITAL,18
IM,41
HOPEFUL,9
SURE,17
GOING,70
FINE,1
STRONG,8
MAN,1
PERSON,6
EVERY,14
PATRIOTIC,1
AMERICAN,19
HEART,4
BEATS,1
SOLIDARITY,1
INCREDIBLE,9
NEW,61
YORK,30
JERSEY,13
REALLY,42
BECOME,4
HOT,1
ZONE,1
GOOD,32
THINGS,24
HAPPENING,8
IN,17
FIRST,18
DEATHS,5
LESS,13
PREVIOUS,2
DAY,13
THATS,56
DROP,2
FAR,10
SO,80
MAYBE,7
SIGN,2
COULD,19
LEVELS,1
STARTING,5
PERHAPS,4
DECREASE,2
ITS,29
SHORT,3
WISH,1
GOVERNOR,25
CUOMO,4
JOB,17
THEY,40
GOT,15
HIT,6
SAY,24
FULL,3
POWER,1
GOVERNMENT,11
ENTERPRISE,1
THIS,10
MILITARY,16
OPERATION,3
WEVE,32
WAGED,1
ESPECIALLY,3
LAST,14
NUMBER,11
WEEKS,18
FIFTY,2
STATES,32
TERRITORIES,1
APPROVED,6
MAJOR,4
DISASTER,1
DECLARATIONS,1
UNUSUAL,1
THANKS,2
ARMY,7
CORPS,6
ENGINEERS,4
CITYS,1
JAVITS,2
CENTER,4
ONE,28
LARGEST,2
HOSPITALS,18
UNITED,7
DESIGNATED,1
TREATMENT,1
PATIENTS,5
STAFFED,1
HUNDREDS,2
FEDERAL,13
MEDICAL,20
PERSONNEL,8
DEPLOYED,6
TWO,21
UNITS,2
THEYRE,49
SOMETHING,19
DIDNT,16
EXPECT,2
NEEDED,3
HELP,17
SENT,8
TROOPS,2
ALSO,52
LOT,32
TALENTED,1
DOCTORS,17
NURSES,9
RESPONDERS,5
RUNNING,4
USNS,1
COMFORT,2
THERES,23
PUBLICITY,1
COMING,12
THAT,9
SUPPOSED,6
CIRCUMSTANCES,4
LOOKS,4
LIKE,36
USING,10
SEE,54
PROBLEMS,4
INTERESTING,1
VIRTUALLY,1
CARS,2
ROAD,5
MOTORCYCLES,1
ANYTHING,5
WOULD,48
NORMALLY,1
TAKEN,5
CARE,14
DONT,41
ANYMORE,1
HAVENT,3
SEEN,11
POSITIVE,5
SHIP,2
READY,13
NEED,21
THEYD,8
PREFER,1
OBVIOUS,1
REASONS,5
REASON,4
WILLING,1
ABLE,16
WE,76
BEST,7
LEADERS,1
LOGISTICS,1
PROFESSIONALS,8
ANYWHERE,1
WORLD,8
ORCHESTRATING,1
MASSIVE,3
RESPONSE,2
UNLIKE,1
COUNTRY,43
EVER,10
DONE,23
NEVER,7
FACT,10
JURISDICTIONS,1
PARTICULAR,3
CONNECTICUT,4
AREA,11
ISLAND,2
HOTSPOT,2
PART,10
WERE,41
SENDING,12
SUPPLIES,8
