Word,Frequency
THE,33
PRESIDENT,30
GOOD,12
MORNING,3
EVERYBODY,5
IM,4
GOING,27
TENNESSEE,2
MEET,1
GOVERNOR,3
LOT,9
PEOPLE,23
AND,30
SOMETHING,5
ITS,9
REALLY,4
I,50
GUESS,3
COMING,1
ALONG,1
ASSUME,1
IS,3
RIGHT,8
Q,20
NO,6
YOU,10
THERES,2
CREW,1
ANDREWS,1
WAITING,1
OKAY,8
SO,18
SIGNING,1
8,3
3,3
BILLION,2
ASKED,2
2,1
5,4
GOT,7
ILL,3
TAKE,4
BILL,2
SIGNED,3
WERE,6
WELL,11
BUT,12
UNFORESEEN,1
PROBLEM,4
WHAT,1
CAME,6
NOWHERE,1
TAKING,1
CARE,2
WE,12
BIG,6
NEWS,2
SHIP,8
THINGS,3
HAPPENING,1
TESTED,2
SPOKE,1
CALIFORNIA,3
GAVIN,1
NEWSOM,1
CONVERSATION,1
WORKING,3
TOGETHER,1
CLOSE,2
000,9
TESTING,2
COULD,1
OTHERS,1
PAPERS,2
SIGN,1
PLEASE,2
THESE,2
ADDITIONAL,1
RELEVANT,1
VARIOUS,1
AIDE,2
YES,1
DOCUMENT,2
GIVE,1
ONE,6
INAUDIBLE,4
DESIGNATIONS,1
TWO,1
DO,5
ANYTHING,2
WANT,5
SAY,4
PRESS,1
SECRETARY,3
AZAR,3
MAKE,5
CLEAR,1
TERMS,3
TESTS,9
PROVIDED,1
STATE,2
WASHINGTON,1
THEYVE,3
PRODUCTION,2
SHIPPING,1
WEVE,6
TALKED,1
WEEK,3
COMPLETELY,1
SCHEDULE,2
ALL,2
CDC,7
AVAILABLE,1
TEST,4
75,1
SHIPPED,2
AMERICAS,1
PUBLIC,1
HEALTH,1
LABS,1
THOSE,1
THEN,1
IDT,1
PRIVATE,2
CONTRACTOR,1
SECTOR,1
HOSPITALS,1
ALREADY,1
ENOUGH,1
700,1
REMAINING,1
LOTS,1
ARRIVING,1
QUALITY,1
CONTROL,1
GET,3
FORECAST,1
WEEKEND,2
NEXT,4
KEEP,2
RAMPING,1
MANY,2
4,1
MILLION,1
DRIVING,1
FORWARD,1
EVERYTHING,2
MR,4
ARENT,1
TODAY,4
HES,10
ACTUALLY,1
SENT,2
GO,7
TELL,2
YEAH,4
HE,3
MAY,8
THERE,1
THOUGHT,3
SOMEBODY,1
VIRUS,3
IT,2
TURNED,1
NEGATIVE,4
SEEING,1
YESTERDAY,1
AFTERNOON,1
INFORMED,1
PERSON,9
FIND,1
FULLY,1
SEE,6
TURN,1
AROUND,2
SECRET,1
SERVICE,1
HERE,1
STEVE,1
COVERING,1
LAUGHTER,2
HOW,3
HIT,2
ECONOMY,2
FIRST,2
TIME,3
IVE,2
EVER,2
DONE,3
REPORTER,1
EXPECTING,1
JOB,6
NUMBERS,9
THEYRE,10
INCREDIBLE,2
TREMENDOUS,2
PICKED,1
80,2
NEW,1
JOBS,2
LAST,5
REPORT,1
ADD,2
350,1
LITTLE,3
AGO,3
SHOCKING,1
ANALYZING,1
EXPECT,1
GYRATIONS,1
STOCK,1
MARKET,1
THINK,17
KNOW,18
STAYING,4
BUSINESS,2
TRAVELING,1
THEYLL,3
RESORTS,1
GREAT,3
PLACE,1
THATS,8
FOREIGN,1
COME,3
AMERICANS,2
HOME,1
INSTEAD,2
SPENDING,2
MONEY,2
COUNTRIES,8
MAYBE,1
REASONS,1
TRAVEL,1
INSIDE,1
USA,1
CONGRESS,1
ADMINISTRATION,1
NEEDS,1
ACTION,1
DIMINISH,1
RISK,1
RECESSION,1
MEAN,6
GETTING,1
IN,2
WORDS,1
ALWAYS,1
LIKED,1
ANYWAY,1
YOUVE,1
KNOWN,1
LONG,4
OPPOSED,1
EUROPE,2
PLACES,1
NOW,1
THATLL,1
CHANGE,1
GOES,1
AWAY,4
HOPEFULLY,1
SOONER,1
RATHER,1
LATER,2
WOULD,3
VIRTUALLY,1
SAW,1
SHOCKED,1
ANOTHER,2
WHATEVER,1
MONTH,1
UPGRADED,1
LEVEL,2
NOBODY,1
POSSIBLE,2
THEY,4
STIMULUS,2
NEEDED,1
DONT,11
WHETHER,2
FED,6
WANTS,2
STIMULATE,3
OPINION,1
CHINA,5
US,3
EXACTLY,1
PROACTIVE,1
NICE,1
FISCAL,1
HAPPENS,2
CUT,2
PUTS,1
COMPETITIVE,1
DISADVANTAGE,1
PRIME,2
CONSIDERED,1
FAR,2
DOLLAR,1
USES,1
GERMANY,3
ADVANTAGE,1
INTEREST,3
RATES,1
ANNOUNCED,1
STIMULATING,1
CUTTING,1
ASIA,2
TREMENDOUSLY,1
PAY,2
HIGHER,2
RATE,2
RIDICULOUS,2
FRANKLY,1
LOWEST,1
OTHER,1
PAYING,2
ZERO,2
LESS,1
CONSERVATIVE,1
APPROACH,2
ALSO,1
COMPETING,2
LIKE,11
EVEN,1
FRIENDS,1
AFGHANISTAN,1
AFRAID,1
U,1
S,1
PULLS,1
TALIBAN,1
BASICALLY,1
OVERRUN,1
AFGHAN,2
GOVERNMENT,4
EVENTUALLY,2
CANT,3
20,2
YEARS,2
PROTECTING,1
COUNTRY,4
PROTECT,1
HOLD,1
SOMEBODYS,1
HAND,1
BACK,3
RUNNING,4
UNDERSTAND,1
CAPABLE,1
TERM,1
DEFENDING,1
LET,1
HOPE,1
ANSWER,1
QUESTION,1
CONCERN,2
CORONAVIRUS,1
SUPPOSED,1
HAPPEN,2
WAY,1
POSSIBLY,1
ANY,1
WIDESPREAD,1
ORIGINALLY,1
LACK,3
REASON,1
YOURE,1
ATLANTA,2
POTENTIALLY,1
INFECTED,1
SPEAKING,1
ID,1
GUYS,2
TRYING,2
WORK,2
EVENT,1
STOPPING,1
FLORIDA,2
MEETINGS,1
HADNT,1
HEARD,4
HIGH,1
DIDNT,2
PREFER,1
TRY,1
POWERFUL,1
MAN,1
MEDIA,2
WALL,3
STREET,3
JOURNAL,2
THIS,2
REAL,1
POWER,1
USED,1
THOMSON,1
BOSS,1
