Word,Frequency
THE,121
PRESIDENT,156
THANK,46
MUCH,31
I,249
THINK,59
GOING,69
IMPORTANT,19
CONFERENCE,3
ILL,12
GET,49
TOWARD,3
MIDDLE,1
THINGS,36
REPORT,3
AND,160
WANT,44
SAY,27
SOCIAL,8
DISTANCING,6
MEDIA,10
NICER,2
DONT,50
KNOW,89
EMPTY,1
CHAIRS,1
WE,64
PROBABLY,10
SHOULDNT,6
ANYBODY,8
SITTING,4
BEHIND,3
EITHER,4
YOU,38
GO,36
BACK,17
BUT,64
LOVE,2
ITS,25
YOULL,6
CONTINUE,12
RELENTLESS,1
EFFORT,2
DEFEAT,1
CHINESE,11
VIRUS,19
BEFORE,2
BEGIN,3
START,3
ANNOUNCING,1
TODAY,16
BRINGING,1
HOME,10
ANOTHER,7
AMERICAN,40
CITIZEN,1
IT,20
BIG,12
THING,24
VERY,3
AMER,1
FAKHOURY,2
WAY,20
UNITED,5
STATES,17
IMPRISONED,2
LEBANON,1
SINCE,4
SEPTEMBER,1
2019,1
HES,17
BATTLING,1
LATE,2
STAGE,1
CANCER,3
MR,31
ABLE,25
RECEIVE,3
NEEDED,2
CARE,3
TREATMENT,8
WEVE,22
WORKING,38
HARD,9
FREED,1
FINALLY,1
ENTIRE,2
FAMILY,6
SIDE,2
SO,54
IM,24
GRATEFUL,2
LEBANESE,1
GOVERNMENT,17
THEY,27
WORKED,5
US,17
PROUD,3
STOOD,2
STRONGLY,2
THRILLED,1
HIGHER,2
PRIORITY,5
SAFETY,8
WELLBEING,1
CITIZENS,1
GOTTEN,3
TREMENDOUS,10
NUMBER,16
HOSTAGES,1
42,1
0,1
ROBERT,2
OBRIEN,1
CHIEF,1
NEGOTIATOR,1
LARGE,6
PART,12
IN,10
FACT,4
WELL,70
DIFFERENT,14
POSITION,1
CONGRATULATE,1
TEAM,3
LET,9
EVERYONE,3
RECOVERING,1
AMERICANS,13
HELD,1
CAPTIVE,1
ABROAD,3
CONTINUES,1
TOP,2
ADMINISTRATION,5
ONE,45
YOUNG,6
GENTLEMAN,1
AUSTIN,5
TICE,5
SYRIA,5
HOPE,15
SYRIAN,1
COUNTING,1
WRITTEN,1
LETTER,1
RECENTLY,1
LONG,20
TIME,28
CAPTURED,1
AGO,8
HIS,3
MOTHER,4
WATCHING,2
SHES,1
GREAT,31
LADY,1
BEST,11
PLEASE,9
WORK,20
WOULD,41
APPRECIATE,6
LETTING,2
IF,11
DONE,30
RID,4
ISIS,1
CALIPHATE,1
LOT,30
SEE,28
THEYRE,44
APPRECIATED,2
IMMEDIATELY,5
AS,8
EVERY,21
DAY,16
PROTECT,4
PEOPLE,86
ECONOMY,11
YESTERDAY,9
SIGNED,4
LAW,4
CRITICAL,4
SUPPORT,4
WORKERS,11
FAMILIES,3
SMALL,6
BUSINESSES,6
WERE,25
PROVIDING,2
SICK,3
LEAVE,5
MEDICAL,9
AFFECTED,1
HELP,7
SPEAK,4
OUR,5
HEADED,1
SECRETARY,1
MNUCHIN,1
HILL,6
DEMOCRATS,3
REPUBLICANS,4
THERES,21
GOODWILL,1
