Word,Frequency
THE,203
PRESIDENT,254
THANK,37
MUCH,23
EVERYBODY,7
SO,86
AMERICA,13
CONTINUES,3
WAGE,1
WAR,7
DEFEAT,2
VIRUS,25
HORRIBLE,5
YOU,49
SEE,26
TERRIBLE,7
ESPECIALLY,6
LOOK,31
NUMBERS,13
YESTERDAY,7
AND,235
EXPLAINED,1
EXTENDING,1
NATIONWIDE,1
GUIDELINES,2
SLOW,2
SPREAD,8
30,3
DAYS,11
TOGETHER,12
POWER,3
SAVE,3
COUNTLESS,1
LIVES,8
WERE,50
ATTACKING,1
EVERY,26
FRONT,4
SOCIAL,12
DISTANCING,9
ECONOMIC,1
SUPPORT,8
WORKERS,9
RAPID,2
MEDICAL,15
INTERVENTION,1
SERIOUS,3
INNOVATION,1
BANNING,1
DANGEROUS,2
FOREIGN,1
TRAVEL,2
THREATENS,2
HEALTH,17
PEOPLE,127
EARLY,9
FAR,4
EARLIER,4
ANYONE,1
WOULD,37
THOUGHT,3
WAY,29
AHEAD,15
ANYBODY,4
ELSE,4
IN,17
TIME,47
NEED,24
I,290
KNOW,117
AMERICAN,31
PATRIOTIC,2
DUTY,2
HELP,19
US,31
ACHIEVE,1
TOTAL,1
VICTORY,1
AS,10
GOVERNMENTS,3
NATIONS,6
FOCUS,7
CORONAVIRUS,24
THERES,24
GROWING,1
THREAT,4
CARTELS,14
CRIMINALS,2
TERRORISTS,4
MALIGN,5
ACTORS,3
TRY,5
EXPLOIT,2
SITUATION,7
GAIN,1
MUST,7
LET,15
HAPPEN,14
WE,84
NEVER,18
TODAY,28
UNITED,17
STATES,40
LAUNCHING,1
ENHANCED,5
COUNTER,6
NARCOTICS,9
OPERATIONS,14
WESTERN,2
HEMISPHERE,2
PROTECT,9
DEADLY,2
SCOURGE,3
ILLEGAL,4
DRUG,18
PANDEMIC,9
THREATEN,2
COOPERATION,3
22,2
PARTNER,3
U,8
S,8
SOUTHERN,7
COMMAND,4
INCREASE,5
SURVEILLANCE,5
DISRUPTION,1
SEIZURES,1
SHIPMENTS,1
PROVIDE,5
ADDITIONAL,14
ERADICATION,1
EFFORTS,3
GOING,126
RIGHT,48
RECORD,1
PACE,1
DEPLOYING,3
NAVY,4
DESTROYERS,2
COMBAT,5
SHIPS,19
AIRCRAFT,7
HELICOPTERS,1
COAST,8
GUARD,11
CUTTERS,3
AIR,4
FORCE,12
DOUBLING,1
CAPABILITIES,4
REGION,7
VERY,6
IMPORTANTLY,1
FORCES,7
FULLY,5
EQUIPPED,1
PERSONNEL,4
PROTECTIVE,6
EQUIPMENT,6
WEVE,35
TAKEN,7
SAFETY,4
MEASURES,3
ENSURE,2
TROOPS,3
REMAIN,7
HEALTHY,2
SECRETARY,26
MARK,5
ESPER,12
ATTORNEY,4
GENERAL,12
BILL,6
BARR,5
NATIONAL,13
SECURITY,16
ADVISOR,1
ROBERT,1
OBRIEN,6
DETAILS,1
ADDITION,4
IM,36
MILLEY,4
DONE,10
INCREDIBLE,9
JOB,6
MANY,34
WAYS,1
SAY,18
WORDS,3
ALSO,32
CHIEF,3
NAVAL,5
ADMIRAL,13
GILDAY,10
THINK,97
COMMANDANT,1
SCHULTZ,2
ASK,13
START,13
GO,42
TAKE,25
QUESTIONS,11
PERTAINS,1
WELL,96
ONTO,3
PHASE,9
TWO,19
OKAY,15
PLEASE,32
MR,50
GOOD,23
AFTERNOON,1
EVERYONE,2
APPRECIATE,2
OPPORTUNITY,1
MAKE,33
IMPORTANT,13
ANNOUNCEMENT,1
AT,7
NATION,2
DEPARTMENT,7
DEFENSE,5
FOCUSED,9
PROTECTING,6
VIGILANT,1
THREATS,6
COUNTRY,51
FACES,1
PRESIDENTS,7
DIRECTION,6
CLOSE,6
INTERAGENCY,3
PARTNERS,2
BEGAN,3
EASTERN,1
PACIFIC,2
OCEAN,1
CARIBBEAN,2
SEA,10
THIS,13
INITIATIVE,3
PART,9
ADMINISTRATIONS,1
WHOLE,7
GOVERNMENT,7
APPROACH,3
COMBATING,1
FLOW,5
ILLICIT,5
DRUGS,20
WANT,58
EFFORT,4
INCLUDE,1
HOMELAND,3
ENFORCEMENT,3
AGENCY,1
JUSTICE,3
MEMBERS,5
INTELLIGENCE,7
COMMUNITY,4
TREMENDOUS,14
TO,4
CONDUCT,3
DIRECTED,2
DEPLOYMENT,2
AREA,3
RESPONSIBILITY,1
INCLUDED,1
PACKAGE,3
LITTORAL,1
P,1
8,5
PATROL,3
ELEMENTS,1
ARMY,2
ASSISTANCE,3
BRIGADE,1
THESE,6
NEARLY,2
DOUBLE,2
CAPACITY,4
ADDITIONALLY,1
JOINED,2
FIGHT,7
BRINGING,6
VARIETY,2
NEEDED,3
CRIMINAL,5
ORGANIZATIONS,4
LAST,12
YEAR,10
ALONE,3
COMMANDS,2
RESULTED,1
SEIZURE,1
280,1
METRIC,2
TONS,3
DESIGNATED,1
SHIPMENT,3
WHILE,3
ACHIEVEMENT,1
WORK,27
TRANSNATIONAL,1
CONTINUE,16
SMUGGLING,1
COCAINE,4
FENTANYL,1
METHAMPHETAMINES,1
ACROSS,10
BORDERS,1
TRAFFICKERS,5
PUT,8
COMMUNITIES,5
RISK,4
DESTROY,1
TENS,2
THOUSANDS,16
AMERICANS,15
DIE,2
OVERDOSE,1
SUFFER,2
HARMFUL,1
EFFECTS,1
ADDICTION,3
FURTHERMORE,1
CORRUPT,4
LIKE,63
ILLEGITIMATE,1
MADURO,6
REGIME,9
VENEZUELA,5
RELY,1
PROFITS,1
DERIVED,1
SALE,1
MAINTAIN,1
OPPRESSIVE,1
HOLD,2
VENEZUELAN,1
TREMENDOUSLY,1
DUE,1
MADUROS,1
CONTROL,1
SEIZING,1
LAWLESSNESS,1
INCREASING,1
ACTIVITIES,5
PREVENT,3
ARRIVING,1
SHORES,2
UNDERWAY,5
DISRUPT,1
DENY,1
ADVERSARIES,2
FINANCIAL,3
RESOURCES,5
DEPEND,1
BUILD,7
THROUGHOUT,3
TRUMP,4
LEADERSHIP,8
CRITICAL,2
MISSION,4
PARTICULARLY,3
OPERATION,8
BEGIN,4
AROUND,11
WORLD,18
SHIFT,1
INWARD,1
DEAL,26
ATTEMPTING,1
CAPITALIZE,1
CRISIS,9
ANNOUNCING,2
KEEP,13
PRESSURE,4
GROUPS,9
DEVASTATION,1
CAUSED,1
MEN,2
WOMEN,3
MILITARY,16
HARD,13
HOME,14
ACTION,2
DEFEND,3
GREAT,49
ID,14
INVITE,1
PUBLICLY,1
CRAIG,1
FALLER,1
COMMANDER,2
MIAMI,3
LEADING,2
EFFECTIVE,1
CONTRIBUTIONS,1
SERVICES,6
SAILORS,2
GUARDSMEN,1
SOLDIERS,8
AIRMEN,1
MARINES,1
INVOLVED,4
CAME,9
UPON,2
AGO,13
RESULT,2
COVID,11
19,9
ADVANTAGE,4
INFILTRATE,1
70,2
000,13
AVERAGE,1
ANNUAL,1
BASIS,5
THATS,45
UNACCEPTABLE,1
PENETRATE,2
GET,62
PAST,11
JUMP,1
STREET,3
YOURE,23
COME,16
KILL,3
MARSHAL,1
WHATEVER,9
ASSETS,7
REQUIRED,2
ENTRY,1
MARSHALLED,1
GREY,1
HULL,1
PACOM,1
EUCOM,1
FLEET,3
NORFOLK,1
SET,1
SAIL,1
ALREADY,11
10,3
SPECIAL,2
BRIGADES,1
ALONG,6
RECONNAISSANCE,1
BOTTOM,1
LINE,4
NOW,8
REGARDLESS,1
COST,6
BEAUTIFUL,2
THANKS,3
DECISIVE,1
CONFRONT,1
UNPRECEDENTED,2
CHALLENGE,3
POSED,3
CORONA,2
TAKING,11
OBVIOUSLY,4
BUT,95
LAW,2
FORWARD,5
FULL,7
ARRAY,2
FOR,4
ONE,48
HIGHEST,3
PRIORITIES,2
DESTROYING,1
MEXICAN,8
THEIR,2
TRAFFICKING,6
LARGELY,3
RESPONSIBLE,1
DEATHS,3
COSTS,4
DONT,68
COUNT,1
DESTROYED,2
FAMILIES,11
DRAINING,1
TREASURE,1
STATE,15
BUDGETS,1
CRUSHED,2
BURDEN,3
NARCOTIC,1
CAUSES,1
MADE,8
CLEAR,9
WIN,5
INTERESTED,1
HALF,3
CARTEL,1
DECEMBER,1
BUILDING,14
SUCCESS,2
FORGING,1
COOPERATIVE,1
RELATIONSHIP,9
IMMIGRATION,2
ASKED,7
MEET,9
LPEZ,1
OBRADOR,1
COUNTERPARTS,1
COULD,31
ESTABLISH,2
COMPREHENSIVE,1
COORDINATED,1
MEXICANS,2
CONFRONTING,2
SUCCESSFUL,2
VISITS,1
DISCUSSIONS,2
CURRENTLY,2
ANTICIPATE,1
BEAR,3
FRUIT,1
MONTHS,4
QUICKLY,13
BECAME,1
OBTAIN,1
IMMEDIATE,2
RESULTS,3
BEST,11
BANG,1
BUCK,1
INTERDICTION,3
ATLANTIC,1
SIDE,9
MEXICO,6
CENTRAL,3
COUNTRIES,15
YEARS,14
USING,4
ROUTES,3
PRINCIPALLY,1
COLOMBIA,2
COASTS,1
BECOME,2
PRIMARY,1
MEANS,2
BECAUSE,13
SUPERB,1
EXACTLY,7
SIGNIFICANTLY,2
LIMITED,1
ABILITY,4
INTERDICT,2
DEPLOYED,5
PRIOR,1
LIMITATION,1
MEANT,1
INTERCEPT,1
FRACTION,1
VARIOUS,4
BOATS,1
DETECTED,1
TALKING,18
HUNDREDS,3
POSITION,6
SEIZE,1
RADICALLY,1
